espèce,nombre
Cygne tuberculé,288
Canard colvert,182
Sarcelle d'hiver,109
Nette rousse,303
Fuligule milouin,143
Fuligule morillon,219
Grand Harle,225
Grèbe castagneux,115
Grèbe huppé,340
Foulque macroule,322
Mouette rieuse,318
Goéland cendré,97
Goéland leucophée,241
Sterne pierregarin,141
Cigogne blanche,140
Grand Cormoran,153
Héron cendré,201
Gypaète barbu,77
Aigle royal,95
Épervier d'Europe,101
Milan royal,211
Milan noir,93
Buse variable,214
Martin-pêcher d'Europe,138
Faucon crécerelle,138
Cassenoix moucheté,102
Chocard à bec jaune,255
Corneille noire,127
Mésange bleu,145
Mésange charbonnière,116
Pouillot véloce,112
Sittelle torchepot,106
Merle noir,115
Rougequeue noir,146
Moineau domestique,99
Bergeronnette grise,155
Pipit spioncelle,113
Pinson des arbres,174
Bruant des roseaux,109